,title,text,time,image,country,3let
0, Αυστρία: Η Βιέννη σχεδιάζει απαγόρευση προσγείωσης για πτήσεις από τη Βρετανία ,"  Το υπουργείο Υγείας ανέφερε το απόγευμα στη δημόσια Αυστριακή Ραδιοτηλεόραση (ORF) ότι ""αυτή η μετάλλαξη ιών δεν έχει ακόμη εντοπιστεί στην Αυστρία"".  ",2020-12-20 17:51:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/27/2728422d5aa64d969f8f7c64d676b35a.jpg?quality=60&amp;404=default&amp;v=8,αυστρία,AUT
1," Η Ισπανία ζητά μια ""συντονισμένη"" απάντηση από την ΕΕ σχετικά με τις πτήσεις με τη Βρετανία ",  Μετά την ανακάλυψη μιας νέας μετάλλαξης του κορονοϊού στη χώρα αυτή.  ,2020-12-20 16:20:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/2c/2c5880ef3e8c46d1b4413e3575467874.jpg?quality=60&amp;404=default&amp;v=8,ισπανία,ESP
2, Βέλγιο: Αναστολή πτήσεων και δρομολογίων τρένων από τη Μ. Βρετανία ,Το Βέλγιο προχωρά στην αναστολή πτήσεων και σιδηροδρομικών δρομολογίων από τη Μεγάλη Βρετανία φοβούμενο τη μετάλλαξη του κορονοϊού. ,2020-12-20 15:34:00,https://www.news247.gr/img/5460/9087007/119000/w140/140/london.jpg,βέλγιο,BEL
3, Ιταλία: Αναστέλλει τις πτήσεις από και προς τη Βρετανία ,  Λόγω των φόβων που προκαλεί η ανακάλυψη ενός νέου στελέχους του κορονοϊού.  ,2020-12-20 15:30:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/72/722175ce03c24585b6f715e6dd46f401.jpg?quality=60&amp;404=default&amp;v=8,ιταλία,ITA
4," Συναγερμός: ""Ξέφυγε"" από τη Βρετανία το νέο στέλεχος κορονοϊού - Πού εντοπίζεται ","Η μετάλλαξη του κορονοϊού που εντοπίστηκε στη Βρετανία εξαπλώνεται πολύ γρήγορα. Σε ποιες άλλες χώρες έχει εντοπιστεί το νέο στέλεχος. Τι δείχνουν τα στοιχεία έως τώρα. Αυξάνονται οι έλεγχοι, διακοπές σε συνδέσεις και δρομολόγια.",2020-12-20 15:12:00,https://www.news247.gr/img/4922/9086906/247000/w140/140/germany.jpg,ελλάδα,GRC
5, Γαλλία: Εξετάζει μπλόκο σε πτήσεις και δρομολόγια τρένων από Βρετανία ,  Εξαιτίας του νέου στελέχους κορονοϊού.  ,2020-12-20 14:25:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/8f/8f2d46cac3e84a31a9acee088cfbd10e.jpg?quality=60&amp;404=default&amp;v=8,γαλλία,FRA
6, Κορωνοϊός: Το Βέλγιο αναστέλλει πτήσεις και δρομολόγια τρένων από τη Βρετανία -Λόγω μιας νέας μετάλλαξης του ιού ," Το Βέλγιο θα αναστείλει τις πτήσεις και τα δρομολόγια των τρένων από τη Βρετανία από τα μεσάνυχτα της Κυριακής (01.00 ώρα Ελλάδας) μετά την ανακάλυψη μιας νέας μετάλλαξης του κορωνοϊού, που κυκλοφορεί σε τμήματα της βρετανικής επικράτειας, δήλωσε στο Γαλλικό Πρακτορείο ένας κυβερνητικός αξιωματούχος. ",2020-12-20 13:48:00,www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-12/belgio-koronoios-20-12-20.jpg,βέλγιο,BEL
7, Βέλγιο: Αναστέλλει τα δρομολόγια από τη Βρετανία λόγω του μεταλλαγμένου στελέχους κορονοϊού ,  Ο Βέλγος πρωθυπουργός Αλεξάντερ ντε Κρο διευκρίνισε στο τηλεοπτικό δίκτυο VRT ότι η διάρκεια της αναστολής θα είναι τουλάχιστον 24 ωρών.  ,2020-12-20 13:29:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/3b/3b09d79510c447758a3069eed124ef33.jpg?quality=60&amp;404=default&amp;v=8,βέλγιο,BEL
8, Κορωνοϊός: Ρεκόρ κρουσμάτων στη Νότια Κορέα από την έναρξη της πανδημίας ," Ρεκόρ 1.097 νέων κρουσμάτων του κορωνοϊού ανακοίνωσε η Νότια Κορέα, μεταξύ των οποίων κι ένα ξέσπασμα του SARS-CoV-2 σε μια φυλακή στη Σεούλ που μόλυνε 185 ανθρώπους, καθώς επιδεινώνεται το τελευταίο κύμα της πανδημίας στη χώρα. ",2020-12-20 09:15:00,www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-12/Seoul-coronavirus-test-center-2020-12-16.jpg,νότια κορέα,KOR
9, Κορονοϊός: Η Ολλανδία αναστέλλει τις πτήσεις από το Ηνωμένο Βασίλειο ,Η είδηση ότι η Μεγάλη Βρετανία καταγράφει αύξηση κρουσμάτων λόγω της μετάλλαξης του κορονοϊού ώθησε την Ολλανδία να αναστείλει τις πτήσεις από βρετανικό έδαφος. ,2020-12-20 08:05:00,https://www.news247.gr/img/1878/9077257/811000/w140/140/bolsonaro101220.jpg,ολλανδία,NLD
10, Κορωνοϊός: Πράσινο φως από τη Συμβουλευτική Επιτροπή των αμερικανικών CDC για το εμβόλιο της Moderna , Η Moderna Inc ανακοίνωσε ότι η Συμβουλευτική Επιτροπή για τις Πρακτικές Ανοσοποίησης των Κέντρων για τον Έλεγχο και την Πρόληψη των Ασθενειών (CDC) των ΗΠΑ ψήφισε υπέρ της σύστασης της χρήσης του εμβολίου της εταιρείας κατά της covid-19 για τους ανθρώπους ηλικίας 18+. ,2020-12-20 08:02:00,www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-12/emvolio-gantia-moderna.jpg,ελλάδα,GRC
11, Κορωνοϊός: Η Ολλανδία αναστέλλει τις πτήσεις από τη Βρετανία λόγω κρούσματος μετάλλαξης του ιού , Η ολλανδική κυβέρνηση ανέστειλε όλες τις επιβατικές πτήσεις από το Ηνωμένο Βασίλειο μέχρι την 1η Ιανουαρίου μετά τον εντοπισμό στη χώρα ενός κρούσματος μόλυνσης από μια μετάλλαξη του κορωνοϊού στο Ηνωμένο Βασίλειο. ,2020-12-20 07:36:00,www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-12/koronoios-ptiseis-ollandia-inomeno-basileio-20-12-20.jpg,ολλανδία,NLD
12, Θεοδωρικάκος: Ερχεται νόμος για τη θεσμοθέτηση του εθελοντισμού ," Στη θεσμοθέτηση του εθελοντικού κινήματος, μέσα από ειδικό νόμο θα προχωρήσει σύντομα η κυβέρνηση, όπως ανακοίνωσε ο Τάκης Θεοδωρικάκος. ",2020-12-19 13:47:00,www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-12/theodorikakos-ypes-8-12-2020.jpg,ελλάδα,GRC
