,title,text,time,image,country,3let,countrycode
115, Κύπρος: Ο Μητροπολίτης Μόρφου αρνείται να εφαρμόσει τα μέτρα για τον κορωνοϊό ," Ενάντια στα μέτρα που ανακοίνωσε η κυβέρνηση Κύπρου για τους εκκλησιασμούς τάσσεται ο Μητροπολίτης Μόρφου και μέσω παρέμβασής του ανακοινώνει πως οι ναοί στα όρια της μητροπολιτικής περιφέρειας Μόρφου, θα συνεχίσουν απρόσκοπτα τη λειτουργία τους. ",2020-10-12 11:17:00,,κύπρος,,CY
0, Ντιέγκο Μαραντόνα: Ξεκίνησε η μάχη για την περιουσία του -Πόσοι διεκδικούν μερίδιο από τα 40 εκατομμύρια ," Ξεκίνησε η μάχη ανάμεσα στους συγγενείς του Ντιέγκο Μαραντόνα για τη μεγαλύτερη από 40 εκατομμύρια ευρώ περιουσία του ποδοσφαιριστή, με τουλάχιστον 16 άτομα να διεκδικούν μερίδιο. ",2020-10-12 10:57:00,,ελλάδα,,GR
116, Ο Βέμπερ... την είπε στον Τζόνσον για τους εμβολιασμούς: «Χωρίς την Ευρώπη δεν υπάρχει εμβόλιο» ," Απάντηση στους «πανηγυρισμούς» του Μπόρις Τζόνσον για την έναρξη των εμβολιασμών κατά του κορωνοϊού στη Βρετανία έδωσε ο επικεφαλής της Κοινοβουλευτικής Ομάδας του Ευρωπαϊκού Λαϊκού Κόμματος, Μάνφρεντ Βέμπερ. ",2020-10-12 10:57:00,,ελλάδα,,GR
1, The Sun: Ο Μπιλ Κλίντον είναι «τρομοκρατημένος» ότι θα τον χωρίσει η Χίλαρι -Για ποιο λόγο ," Ο Μπιλ Κλίντον είναι «τρομοκρατημένος» ότι η σύζυγός του Χίλαρι θα τον χωρίσει εν μέσω των ισχυρισμών ότι επισκέφθηκε το νησί των οργίων του παιδόφιλου Τζέφρι Έπσταϊν, αποκάλυψε στενός φίλος του ζευγαριού. ",2020-09-12 19:10:00,,ελλάδα,,GR
2, Σύνοδος Κορυφής: Στο δείπνο των ηγετών η συζήτηση για την Τουρκία ," Κατά τη διάρκεια του δείπνου της Συνόδου Κορυφής, την Πέμπτη, θα συζητηθεί το ζήτημα της Τουρκίας. ",2020-09-12 19:00:00,,τουρκία,,TR
3, Χάκερ επιτέθηκαν στον Ευρωπαϊκό Οργανισμό Φαρμάκων ," Στόχος χάκερ έγινε ο Ευρωπαϊκός Οργανισμός Φαρμάκων (EMA), όπως ανακοίνωσε η ίδια η ρυθμιστική αρχή, προσθέτοντας ότι το συμβάν διερευνάται. ",2020-09-12 17:54:00,,ελλάδα,,GR
4, Η στιγμή που η Γερμανίδα υπουργός πέφτει μέσα στην Μπούντεσταγκ -«Κόλλησε το παπούτσι στο σκαλοπάτι» [βίντεο] ," Μια άτυχη στιγμή είχε η υπουργός Αγροτικής Ανάπτυξης της Γερμανίας στην Μπούντεσταγκ, καθώς σκόνταψε την ώρα που περπατούσε. ",2020-09-12 17:49:00,,ελλάδα,,GR
5, Η Μέρκελ δεν άνοιξε τα χαρτιά της για τις κυρώσεις κατά της Τουρκίας , Τη δυσαρέσκειά της για το γεγονός ότι δεν υλοποιήθηκε στον βαθμό που ήθελε η πρόταση για εντατικό διάλογο ΕΕ-Αγκυρας εξέφρασε η Ανγκελα Μέρκελ. ,2020-09-12 16:36:00,,τουρκία,,TR
6, Τζόνσον: Κανένας Βρετανός πρωθυπουργός δεν θα μπορούσε να αποδεχθεί τις τρέχουσες απαιτήσεις της ΕΕ ," Λίγες ώρες πριν το τετ α τετ με την Ούρσουλα φον ντερ Λάιεν, ο Μπόρις Τζόνσον τονίζει ότι κανένας Βρετανός πρωθυπουργός δεν θα μπορούσε να δεχθεί τα αιτήματα της ΕΕ. ",2020-09-12 15:37:00,,ελλάδα,,GR
7, Ζητούν από τους Ρώσους να απέχουν από το αλκοόλ 2 μήνες πριν και μετά το εμβόλιο Sputnik V ," Συστάσεις για την αποφυγή του αλκοόλ για σχεδόν 2 μήνες πριν και μετά τον εμβολιασμό για τον κορωνοϊό, δέχθηκαν οι Ρώσοι. ",2020-09-12 15:36:00,,ελλάδα,,GR
