,title,text,time,image,country,3let
39," Κορονοϊός: Σε ""σταθερή κατάσταση"" η υγεία του Μακρόν ","""Σταθερή κατάσταση υγείας"" παρουσιάζει ο πρόεδρος της Γαλλίας που μολύνθηκε από τον κορονοϊό, ενώ τα αποτελέσματα των εξετάσεών του παραμένουν καθησυχαστικά, όπως έγινε γνωστό από το Ελιζέ.",2020-12-19 14:46:00,https://www.news247.gr/img/3793/9086212/731000/w140/140/ap_20352664940669.jpg,ελλάδα,GRC
40, Υπόθεση Έπσταϊν: Συνελήφθη ο επικεφαλής πρακτορείου μοντέλων Ζαν-Λικ Μπρουνέλ ,Συνελήφθη και τέθηκε υπό προσωρινή κράτηση ο επί χρόνια επικεφαλής πρακτορείου μοντέλων Ζαν-Λικ Μπρουνέλ που γνώριζε τον Αμερικανό δισεκατομμυριούχο.,2020-12-19 14:04:00,https://www.news247.gr/img/2791/9086189/239000/w140/140/jean_luc_brunel.jpg,ελλάδα,GRC
49, Φιλιππίνες: Τουλάχιστον δύο νεκροί και εκατοντάδες άστεγοι από πλημμύρες ,Δύο άνθρωποι σκοτώθηκαν και δεκάδες σπίτια καταστράφηκαν έπειτα από το πέρασμα τρομερής κακοκαιρίας από τις Φιλιππίνες που προκάλεσε πλημμύρες και κατολισθήσεις.,2020-12-19 13:45:00,https://www.news247.gr/img/6995/9086169/624000/w140/140/ap_20353442011643.jpg,φιλιππίνες,PHL
41, Η αλήθεια για τη νοσοκόμα που λιποθύμησε μετά το εμβόλιο ,Μια νοσοκόμα σε νοσοκομείο στην Chattanooga του Τενεσί λιποθύμησε λίγο αφότου έκανε το εμβόλιο της Pfizer. Η αλήθεια όμως δεν σχετίζεται με την ουσία του σκευάσματος καθεαυτού.,2020-12-19 11:17:00,https://www.news247.gr/img/6840/9086042/901000/w140/140/nurse.jpg,ελλάδα,GRC
50, Οι ΗΠΑ κατηγορούν την Ρωσία για τη γιγαντιαία κυβερνοεπίθεση ,"""Μπορούμε να πούμε με αρκετή σαφήνεια ότι οι Ρώσοι εμπλέκονται σε αυτήν τη δραστηριότητα"", δήλωσε ο Πομπέο. Η Ρωσία διαψεύδει κατηγορηματικά οποιαδήποτε εμπλοκή της στην υπόθεση.",2020-12-19 10:49:00,https://www.news247.gr/img/9484/9086035/501000/w140/140/hack.jpg,ρωσία,RUS
52, Τουρκία: Μεγάλη φωτιά σε νοσοκομείο για ασθενείς με covid-19 - Εννέα νεκροί ,Τραγωδία σε μονάδα ενττικής θεραπείας για ασθενείς με COVID-19 ιδιωτικού νοσοκομείου. Προκλήθηκε φωτιά λόγω έκρηξης αναπνευστήρα με αποτέλεσμα 9 άνθρωποι να χάσουν τη ζωή τους.,2020-12-19 10:04:00,https://www.news247.gr/img/7174/9085987/956000/w140/140/tourki.jpg,τουρκία,TUR
54, Χιλή: Πρόστιμο 3.500 δολαρίων στον Πινιέρα για σέλφι με άγνωστη χωρίς μάσκα ,"Άλλη μία ""γκάφα"" του Προέδρου της Χιλής. Πόζαρε με μία άγνωστη γυναίκα, ενώ κανείς τους δεν φορούσε μάσκα παρά τους αυστηρούς κανόνες για χρήση της σε όλους τους δημόσιους χώρους.",2020-12-19 09:55:00,https://www.news247.gr/img/9170/9085974/937000/w140/140/pinera.jpg,χιλή,CHL
42," Πού βρήκε όπλα το ""Ισλαμικό Κράτος""; ",Πώς κατάφερε να εξοπλιστεί με όπλα το ISIS; Μελέτη που δημοσιεύθηκε πρόσφατα στη Βρετανία επιχειρεί να δώσει μία απάντηση στο ερώτημα.,2020-12-19 09:12:00,https://www.news247.gr/img/5202/9085936/800000/w140/140/isis.jpg,ελλάδα,GRC
43, Οι Γερμανοί δεν ξέρουν για τα εγκλήματα των Ναζί στην Ελλάδα ,"Μία υπαίθρια έκθεση για τα ελληνικά μαρτυρικά χωριά στήθηκε εν μέσω πανδημίας στο Μύνστερ. Οι σφαγές, οι εκτελέσεις αμάχων και η εξόντωση των Ελλήνων Εβραίων παραμένουν άγνωστα.",2020-12-19 08:59:00,https://www.news247.gr/img/3214/6666262/033000/w140/140/katoxi.jpg,ελλάδα,GRC
44, Οξφόρδη: Η πρώην Μις Αγγλία στις έρευνες για τα εμβόλια κορονοϊού ,"Η Καρίνα στέφθηκε Μις Αγγλία το 2014 και έφθασε μέχρι την 4η θέση στον διαγωνισμό για την Μις Υφήλιος. Πλέον, ακολουθεί το παιδικό της όνειρο αλλά δεν αφήνει τη μόδα.",2020-12-19 07:58:00,https://www.news247.gr/img/9017/9085847/138000/w140/140/carina.jpg,ελλάδα,GRC
45, Οι ΗΠΑ αρχίζουν εμβολιασμούς και με το εμβόλιο της Moderna ,"Εγκρίθηκε η χορήγηση άδειας κατεπείγουσας χρήσης του εμβολίου της Moderna εναντίον του νέου κορονοϊού, όπως ανακοίνωσε ο FDA.",2020-12-19 07:23:00,https://www.news247.gr/img/3992/9083294/332000/w140/140/washington_pfizer.jpg,ελλάδα,GRC
55," Χονγκ Κονγκ: Ανθρωποκυνηγητό για ασθενή με κορονοϊό που το ""έσκασε"" από νοσοκομείο ",Πρόκειται για την πρώτη γνωστή περίπτωση κατά την οποία ασθενής με covid-19 δραπέτευσε από νοσοκομείο στο Χονγκ Κονγκ.,2020-12-19 07:22:00,https://www.news247.gr/img/4062/9085820/086000/w140/140/hong.jpg,χονγκ κονγκ,HKG
56," Κορονοϊός: ""Κόκκινη ζώνη"" η Ιταλία ","Νέους περιορισμούς και απαγορεύσεις που θα ισχύσουν από 24/12 έως τις 6/1, με εξαίρεση τέσσερις μέρες, ανακοίνωσε ο Τζ. Κόντε. ",2020-12-18 23:45:00,https://www.news247.gr/img/9744/9085725/878000/w140/140/italy181220.jpg,ιταλία,ITA
57, Τριντό: Ο Καναδάς θα μοιραστεί τυχόν πλεόνασμα των εμβολίων κορονοϊού ,"Ο Καναδάς των 38 εκατ. κατοίκων έχει παραγγείλει περισσότερες από 400 εκατ. δόσεις εμβολίων, μία από τις υψηλότερες αναλογίες στον κόσμο. ",2020-12-18 23:35:00,https://www.news247.gr/img/3208/9085713/324000/w140/140/trinto181220.jpg,καναδάς,CAN
58, Κύπρος: Παραλαμβάνονται την Παρασκευή ειδικά ψυγεία φύλαξης των εμβολίων της Pfizer ,Στην Κύπρο καταφτάνουν την Παρασκευή ειδικά ψυγεία στα οποία θα φυλάγονται τα εμβόλια των Pfizer/BioNTech. Άλλα 410 κρούσματα.,2020-12-18 22:45:00,https://www.news247.gr/img/6099/9076008/366000/w140/140/pfizer.jpg,κύπρος,CYP
51, Η Ρωσία άρχισε να εμβολιάζει τους κοσμοναύτες της με το εμβόλιο Sputnik-V ,Μέχρι σήμερα περισσότερα από 200.000 άνθρωποι έχουν εμβολιαστεί με το Sputnik-V στη Ρωσία. Δύο κοσμοναύτες έκαναν σήμερα την πρώτη δόση οικειοθελώς.,2020-12-18 22:14:00,https://www.news247.gr/img/6151/9085575/466000/w140/140/sputnik2.jpg,ρωσία,RUS
46, Γονείς θα πληρώσουν αποζημίωση στον 42χρονο γιο τους - Του πέταξαν συλλογή πορνό 25.000 δολαρίων ,"Δώδεκα κούτες με ταινίες και περιοδικά πορνογραφικού περιεχομένου, πέταξαν οι γονείς ενός άνδρα στις ΗΠΑ και βρέθηκαν στο εδώλιο του κατηγορουμένου. ",2020-12-18 21:51:00,https://www.news247.gr/img/9235/9085538/610000/w140/140/porno181220.jpg,ελλάδα,GRC
47, Brexit: Νέα συνομιλία φον ντερ Λάιεν - Τζόνσον ,Ο Βρετανός πρωθυπουργός και η πρόεδρος της Ευρωπαϊκής Επιτροπής αναμένεται να συνομιλήσουν τις επόμενες 48 ώρες. Σε οριακό σημείο οι διαπραγματεύσεις.,2020-12-18 21:46:00,https://www.news247.gr/img/5915/9072169/300000/w140/140/boris-ursula.jpg,ελλάδα,GRC
48, ΗΠΑ: Εμβολιάζεται live τη Δευτέρα ο Μπάιντεν - Ακολουθεί και η Κάμαλα Χάρις ,"Ο Τζο Μπάιντεν και η σύζυγός του, Τζιλ αναμένεται να εμβολιαστούν δημοσίως την ερχόμενη Δευτέρα. Μία εβδομάδα αργότερα ο εμβολιασμός της Κάμαλα Χάρις.",2020-12-18 21:35:00,https://www.news247.gr/img/26/9043622/315000/w140/140/kamala.jpg,ελλάδα,GRC
