,title,text,time,image,country,3let
57, Γερμανία: Όλα έτοιμα για τους μαζικούς εμβολιασμούς ,Πάνω από 8 εκατομμύρια πολίτες αναμένεται να κάνουν το εμβόλιο κατά του κορονοϊού στη Γερμανία. ,2020-12-10 02:26:00,https://www.news247.gr/img/4049/9076172/608000/w140/140/germany.jpg,γερμανία,DEU
53, Ιστορική απόφαση: Ο ΟΗΕ δεν θεωρεί την κάνναβη επικίνδυνη ,"Η απόφαση-ορόσημο του ΟΗΕ αφαιρεί την κάνναβη από τον κατάλογο των επικίνδυνων ουσιών, εκσυγχρονίζοντας το ρυθμιστικό πλαίσιο και ανοίγοντας τον δρόμο στην ανάπτυξη της φαρμακευτικής κάνναβης.",2020-12-10 01:57:00,https://www.news247.gr/img/9329/9075640/638000/w140/140/cannabis.jpg,ελλάδα,GRC
54, Brexit: Συνεχίζεται το αδιέξοδο - Αποχώρησε ο Τζόνσον από τις Βρυξέλλες ,Χωρίς συμφωνία αποχώρησε ο Τζόνσον από τις Βρυξέλλες - Οι συνομιλίες θα συνεχιστούν την Κυριακή. ,2020-12-10 01:30:00,https://www.news247.gr/img/2364/9076273/660000/w140/140/brexit.jpg,ελλάδα,GRC
55, Κυβερνοεπίθεση στον Ευρωπαϊκό Οργανισμό Φαρμάκων με στόχο το εμβόλιο της Pfizer ,Κυβερνοεπίθεση σημειώθηκε στον Ευρωπαϊκό Οργανισμό Φαρμάκων με αποτέλεσμα να υποκλαπούν έγγραφα του εμβολίου της Pfizer. ,2020-12-09 23:46:00,https://www.news247.gr/img/7831/9076146/694000/w140/140/emvolio.jpg,ελλάδα,GRC
42, Αλβανία: Κύμα οργής και σφοδρές συγκρούσεις μετά τη δολοφονία 25χρονου από αστυνομικό ,Εκατοντάδες Αλβανοί βγήκαν στους δρόμους των Τιράνων ζητώντας δικαιοσύνη για τον θάνατο του 25χρονου Klodian Rasha. Βίαια επεισόδια στο κέντρο της πόλης.,2020-12-09 21:53:00,https://www.news247.gr/img/8386/9076073/450000/w140/140/albania1.jpg,αλβανία,ALB
58, ΗΑΕ: Κατά 86% αποτελεσματικό το εμβόλιο κορονοϊού της Κίνας ,Τα ΗΑΕ μεταδίδουν πως το εμβόλιο κατά του κορονοϊού της Εθνικής Φαρμακευτικής Ομάδας της Κίνας είναι αποτελεσματικό κατά 86%. Δεν έχουν κυκλοφορήσει λεπτομερή στοιχεία της κλινικής δοκιμής.,2020-12-09 21:46:00,https://www.news247.gr/img/2351/9076031/277000/w140/140/embolio.jpg,κίνα,CHN
47, Νέα αλλαγή δεδομένων: Ο κορονοϊός ήταν στην Ιταλία από τον Νοέμβριο του 2019 ,"Όλο και νωρίτερα φέρνουν τον κορονοϊό στην Ιταλία μελέτες. Σύμφωνα με την πιο πρόσφατη, είχε φτάσει και είχε αρχίσει να διασπείρεται, τρεις μήνες νωρίτερα από την πρώτη επίσημη καταγραφή κρούσματος. ",2020-12-09 20:59:00,https://www.news247.gr/img/8100/9076045/823000/w140/140/milano091220.jpg,ιταλία,ITA
19, Γαλλία: Βίαια επεισόδια και καταστροφές- 67 αστυνομικοί τραυματίστηκαν ,Βίαιες διαδηλώσεις κατά της αστυνομικής ωμότητας αλλά και του αμφιλεγόμενου νόμου για την ασφάλεια συγκλονίζουν τη Γαλλία.,2020-12-06 18:03:00,https://www.news247.gr/img/1643/9072548/074000/w140/140/9.jpg,γαλλία,FRA
21, Φρανκφούρτη: Χιλιάδες άνθρωποι απομακρύνθηκαν λόγω βόμβας του Β' Παγκοσμίου Πολέμου ,Στην απομάκρυνση σχεδόν 13.000 ανθρώπων υποχρεώθηκαν οι αρχές της Φραγκφούρτης αφού σε περιοχή της πόλης εντοπίστηκε βόμβα του Β' Παγκοσμίου.,2020-12-06 15:43:00,https://www.news247.gr/img/5080/7461052/267000/w140/140/berlin.jpg,ελλάδα,GRC
22," Κορονοϊός: Πάνω από 66 εκατ. κρούσματα και 1,5 εκατ. νεκροί παγκοσμίως ",Συνεχίζεται η επέλαση της πανδημίας του κορονοϊού σε ολόκληρο τον πλανήτη. Συνολικά έχουν χάσει τη ζωή τους μέχρι τώρα 1.529.324 άνθρωποι.,2020-12-06 14:50:00,https://www.news247.gr/img/6291/9072399/610000/w140/140/covid.jpg,ελλάδα,GRC
23, Επιστρέφουν στην Ελλάδα οι Έλληνες ναυτικοί που απήχθησαν από πειρατές στη Νιγηρία ,"Πρόκειται για τον καπετάνιο και δύο μέλη του πληρώματος, τους οποίους απήγαγαν οι πειρατές έπειτα από ρεσάλτο στο δεξαμενόπλοιο ""ΣΤΕΛΙΟΣ Κ"".",2020-12-06 14:27:00,https://www.news247.gr/img/9057/9072400/627000/w140/140/steliosk2.jpg,ελλάδα,GRC
32, Ιταλία: Χαλαρώνουν οι περιορισμοί σε ορισμένες περιφέρειες ,"Δειλά-δειλά, κάποιες ιταλικές περιφέρειες επιχειρούν να ξανανοίξουν μέρος της οικονομικής δραστηριότητας.",2020-12-06 13:28:00,https://www.news247.gr/img/570/9041482/338000/w140/140/italia.jpg,ιταλία,ITA
24, Λονδίνο: Ακραίος συνωστισμός και εικόνες χάους έξω από το Harrods ,"Σκηνές χάους εκτυλίχθηκαν έξω από το πολυκατάστημα Harrods του Λονδίνου. Χιλιάδες Βρετανοί έσπευσαν να ψωνίσουν, χωρίς αποστάσεις και δίχως μάσκες.",2020-12-06 13:25:00,https://www.news247.gr/img/4349/9072353/765000/w140/140/befunky-collage.jpg,ελλάδα,GRC
33, Αυστραλία: Ιστορική στιγμή με τον εθνικό ύμνο να ψάλλεται στη γλώσσα των ιθαγενών ,Για πρώτη φορά ο εθνικός ύμνος της Αυστραλίας ακούστηκε στη γλώσσα των ιθαγενών σε επίσημη περίσταση. ,2020-12-06 11:49:00,https://www.news247.gr/img/8271/9072274/222000/w140/140/australia1.jpg_,αυστραλία,AUS
