,title,text,time,image,country,3let
0, Πάνω από 720 νέοι έκαναν το όνειρο των σπουδών τους πραγματικότητα – Χάρη στις υποτροφίες COSMOTE ," Το όνειρό τους πραγματικότητα έχουν κάνει 724 φοιτητές με οικονομικές και κοινωνικές δυσκολίες, μέσα από τις υποτροφίες COSMOTE, έναν θεσμό που συμπληρώνει φέτος 19 χρόνια. ",2021-01-22 18:32:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/cosmote-ipotrofies-2020.jpg,ελλάδα,GRC
1, Iσραήλ: Κατέρριψε μη επανδρωμένο αεροσκάφος προερχόμενο από τον Λίβανο ,Ο στρατός του Ισραήλ κατέρριψε μη επανδρωμένο αεροσκάφος που εισήλθε στον ισραηλινό εναέριο χώρο από τον Λίβανο. Η δραστηριότητα drone είναι συχνή κατά μήκος των συνόρων.,2021-01-22 18:24:00,https://www.news247.gr/img/9937/9119776/337000/w140/140/israel.jpg,ελλάδα,GRC
2, Φωτίου: ''Υπάρχουν οστά κάτω από τη σημαία της Τουρκίας στον πενταδάκτυλο'' ,"""Το ίδιο θέατρο που έχει παιχτεί για την Αμμόχωστο και την επίσκεψη του κυρίου Ερντογάν, παίζεται και εδώ"", τονίζει στον ΑΝΤ1 Κύπρου ο Επίτροπος Προεδρίας, Φώτης Φωτίου.",2021-01-22 17:30:00,https://www.news247.gr/img/475/9119766/918000/w140/140/turkey.jpg,τουρκία,TUR
3, Σε πόλη της Γερμανίας βρήκαν έναν απίθανο τρόπο για να κοιμούνται οι άστεγοι και να προστατεύονται από το κρύο [εικόνες] , Τα επίμονα κοινωνικά προβλήματα χρειάζονται καινοτόμα σχέδια και πρωτότυπες λύσεις. ,2021-01-22 15:50:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/capsule.jpg,γερμανία,DEU
4, Δραματική έκκληση δικηγόρων του Οτσαλάν: Έχουν να τον ακούσουν από τις 27 Απριλίου ,Ο Αμπντουλάχ Οτσαλάν ζει σε απόλυτη απομόνωση από τον έξω κόσμο εδώ και εννιά μήνες. Του απαγορεύουν ακόμα και τα τηλεφωνήματα. ,2021-01-22 15:17:00,https://www.news247.gr/img/6888/7590839/387000/w140/140/ocalan1.jpg,ελλάδα,GRC
5, Λευκορωσία: Άνδρας αυτοπυρπολήθηκε έξω από την έδρα της κυβέρνησης ,Σε νοσοκομείο μεταφέρθηκε ένας 35χρονος που αυτοπυρπολήθηκε έξω από τα κεντρικά γραφεία της κυβέρνησης στο Μινσκ.,2021-01-22 15:16:00,https://www.news247.gr/img/8931/9119559/048000/w140/140/belarus.jpg,λευκορωσία,BLR
6, Η Ευρωπαϊκή Επιτροπή θα ζητήσει εξηγήσεις από την Pfizer για τις νέες καθυστερήσεις στις αποστολές , Η Ευρωπαϊκή Επιτροπή θα ζητήσει εξηγήσεις από την εταιρεία Pfizer για τις νέες καθυστερήσεις στην αποστολή εμβολίων κατά τις Covid-19. ,2021-01-22 14:12:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2020-12/embolio-koronoios-pfizer-dosi.jpg,ελλάδα,GRC
7, Αδιανόητο: Εξόρισαν από το Καπιτώλιο 5.000 μέλη της Εθνοφρουράς σε γκαράζ στην Ουάσιγκτον! [εικόνες] ," Σάλο προκάλεσε στις ΗΠΑ η είδηση ότι χιλιάδες μέλη της Εθνοφρουράς υποχρεώθηκαν να κοιμηθούν μέσα στο δριμύ ψύχος στο ύπαιθρο και σ’ ένα γκαράζ, αφού τους είπαν να εγκαταλείψουν τους χώρους του Καπιτωλίου που είχαν περιφρουρήσει επιτυχώς στη διάρκεια της ορκωμοσίας του Τζο Μπάιντεν. ",2021-01-22 14:08:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/National-Guard-parking-lot.jpg,ελλάδα,GRC
8, Βόρεια Μακεδονία: Θα κάνουν απογραφή πληθυσμού μετά από 18 χρόνια ," Η Βουλή της της Βόρειας Μακεδονίας ενέκρινε, χθες, το νομοσχέδιο της κυβέρνησης για την απογραφή του πληθυσμού και των κατοικιών το 2021. ",2021-01-22 14:05:00,https://www.iefimerida.gr/sites/default/files/styles/horizontal_rectangle_mob/public/2021-01/kosmos-perpataei-se-gefyra.jpg,μακεδονία,MKD
9," Συγκλονίζει Κρητικός οδηγός: Πεσμένος 3,5 ώρες στον δρόμο μετά από εγκεφαλικό! ","Η πολύ μεγάλη περιπέτεια επαγγελματία Κρητικού οδηγού. Το εγκεφαλικό στο Μόναχο, η μάχη για τη ζωή και η κοροϊδία από την επιχείρηση και την ελληνική πολιτεία. ",2021-01-22 13:20:00,https://www.news247.gr/img/3158/9119471/822000/w140/140/creta1.jpg,ελλάδα,GRC
